work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd_log
2024,SE,FT,Software Engineer,USD,US,0,US,M,12.686645226125144
2024,EN,FT,Engineer,USD,US,0,US,M,11.863582336583399
2024,EN,FT,Engineer,USD,US,0,US,M,10.491274217438248
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.90564300025589
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.40534025429029
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.631596994687728
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.395038745042797
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.010665849187564
2024,SE,FT,Software Engineer,USD,US,0,US,M,12.37264584535599
2024,SE,FT,Software Engineer,USD,US,100,US,M,12.721288617597457
2024,SE,FT,Data Governance Lead,USD,US,0,US,M,11.934919875029603
2024,SE,FT,Data Governance Lead,USD,US,0,US,M,11.73526869611367
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.37264584535599
2024,SE,FT,Data Manager,USD,US,0,US,M,12.185869938212655
2024,SE,FT,Data Manager,USD,US,0,US,M,12.007621706806335
2024,MI,FT,Engineering Manager,USD,US,100,US,M,12.154779351142624
2024,MI,FT,Engineering Manager,USD,US,100,US,M,11.918390573078392
2024,SE,FT,Software Engineer,USD,US,100,US,M,12.252956231429025
2024,SE,FT,Software Engineer,USD,US,100,US,M,11.864989796351278
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.938193200374572
2024,SE,FT,Data Scientist,USD,US,0,US,M,11.711776323715394
2024,MI,FT,Data Scientist,USD,US,0,US,M,11.289781913656018
2024,SE,FT,Data Architect,USD,US,0,US,M,11.156250521031495
2024,MI,FT,Data Manager,USD,US,0,US,M,11.918390573078392
2024,MI,FT,Data Manager,USD,US,0,US,M,11.608235644774552
2024,MI,FT,Software Engineer,USD,US,0,US,M,12.066810578196666
2024,SE,FT,Data Analyst,USD,US,0,US,M,12.104953124129603
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.942432567558631
2024,SE,FT,Data Analyst,USD,US,0,US,M,11.532728092266408
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.427367576608582
2024,EN,FT,Data Analyst,USD,US,0,US,M,10.734220396048636
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.875483072067116
2024,EN,FT,Data Analyst,USD,US,0,US,M,11.133128103610641
2024,MI,FT,Manager,USD,US,0,US,M,12.395038745042797
2024,MI,FT,Manager,USD,US,0,US,M,11.606415808057568
2024,EN,FT,Data Analyst,USD,US,0,US,M,10.907789161732996
2024,MI,FT,Product Manager,USD,US,0,US,M,12.669806661762314
2024,MI,FT,Product Manager,USD,US,0,US,M,12.273731294003989
2024,SE,FT,MLOps Engineer,USD,US,0,US,M,12.128111104060462
2024,SE,FT,MLOps Engineer,USD,US,0,US,M,11.884489021402711
2024,MI,FT,Analytics Engineer,USD,US,100,US,M,11.736069016284437
2024,SE,FT,Applied Scientist,USD,US,0,US,M,12.254862809699606
2024,SE,FT,Software Engineer,BRL,BR,100,BR,M,11.412088038039986
2024,SE,FT,Software Engineer,BRL,BR,100,BR,M,11.108469847155238
2024,MI,FT,Software Engineer,USD,US,0,US,M,12.323855681186558
2024,MI,FT,Data Scientist,USD,US,0,US,M,11.631596994687728
2024,MI,FT,Data Scientist,USD,US,0,US,M,10.87993220723003
2024,SE,FT,Data Scientist,USD,US,0,US,M,12.663180986790177
2024,SE,FT,Data Scientist,USD,US,0,US,M,12.044141778383953
2024,SE,FT,Data Scientist,USD,US,100,US,M,11.461632170582678
2024,SE,FT,Data Scientist,GBP,GB,0,GB,M,11.831379196088763
2024,SE,FT,Data Scientist,GBP,GB,0,GB,M,11.379394072345706
2024,SE,FT,Data Architect,USD,US,0,US,M,12.091334968059751
2024,SE,FT,Data Architect,USD,US,0,US,M,11.685869859951586
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.2783933071098
2024,SE,FT,Data Engineer,USD,US,0,US,M,11.809319478024031
2024,SE,FT,Data Engineer,USD,US,100,US,M,12.184849009078548
2024,SE,FT,Data Engineer,USD,US,100,US,M,11.961705457764337
2024,MI,FT,Data Engineer,USD,AU,0,AU,M,11.558548714994645
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.519056900844173
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.144197241812087
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.090661794018846
2024,SE,FT,Data Engineer,USD,US,0,US,M,11.222573163962569
2024,MI,FT,Data Engineer,USD,US,0,US,M,12.074299705920515
2024,MI,FT,Data Engineer,USD,US,0,US,M,11.71762802154575
2024,EX,FT,Engineer,USD,US,100,US,M,13.102160670086809
2024,EX,FT,Engineer,USD,US,100,US,M,12.89921982609012
2024,MI,FT,Machine Learning Engineer,USD,US,0,US,M,12.388394202324129
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,11.407564949312402
2024,SE,FT,Machine Learning Researcher,USD,US,0,US,M,12.283959184187244
2024,SE,FT,Machine Learning Researcher,USD,US,0,US,M,11.541512921822141
2024,SE,FT,Engineer,USD,US,100,US,M,12.644327576461329
2024,SE,FT,Engineer,USD,US,100,US,M,12.429216196844383
2024,MI,FT,Software Engineer,USD,US,100,US,M,12.108873182153042
2024,MI,FT,Software Engineer,USD,US,100,US,M,11.589886506106357
2024,SE,FT,Software Engineer,USD,US,100,US,M,12.20624263108181
2024,SE,FT,Software Engineer,USD,US,100,US,M,11.80454228613517
2024,SE,FT,Software Engineer,USD,US,100,US,M,12.392228508634075
2024,SE,FT,Software Engineer,USD,US,100,US,M,11.89294968059644
2024,MI,FT,Manager,USD,US,0,US,M,12.666657052859417
2024,SE,FT,Engineer,USD,US,0,US,M,11.657025808943985
2024,SE,FT,Software Engineer,USD,US,0,US,M,12.223421283864786
2024,SE,FT,Software Engineer,USD,US,100,US,M,12.441144767709657
2024,SE,FT,Software Engineer,USD,US,100,US,M,11.99535161421452
2024,SE,FT,Engineering Manager,USD,US,0,US,M,12.206072645530174
2024,MI,FT,Manager,USD,US,0,US,M,12.388394202324129
2024,MI,FT,Engineering Manager,USD,US,0,US,M,12.481064537165437
2024,MI,FT,Engineering Manager,USD,US,0,US,M,12.298742980371483
2024,SE,FT,Cloud Engineer,USD,US,0,US,M,12.326075437924871
2024,SE,FT,Cloud Engineer,USD,US,0,US,M,11.920388575741066
2024,SE,FT,Site Reliability Engineer,USD,US,0,US,M,12.488239537293845
2024,SE,FT,Site Reliability Engineer,USD,US,0,US,M,12.08277442918568
2024,MI,FT,Bioinformatics Scientist,USD,US,100,US,M,11.901332575836898
2024,MI,FT,Bioinformatics Scientist,USD,US,100,US,M,11.614741707104534
2024,MI,FT,Full Stack Engineer,USD,US,0,US,M,12.043553716032399
2024,MI,FT,Full Stack Engineer,USD,US,0,US,M,11.918390573078392
2024,MI,FT,Associate,USD,AU,0,AU,M,11.979799201207037
2024,MI,FT,Associate,USD,AU,0,AU,M,11.561477505552395
2024,MI,FT,Research Scientist,USD,US,100,US,M,12.254862809699606
2024,MI,FT,Research Scientist,USD,US,100,US,M,11.918390573078392
2024,MI,FT,Engineer,USD,US,100,US,M,12.254862809699606
2024,MI,FT,Engineer,USD,US,100,US,M,12.100712129872347
2024,MI,FT,Software Engineer,USD,US,0,US,M,12.127029438189721
2024,MI,FT,Software Engineer,USD,US,0,US,M,11.721564330081556
2024,SE,FT,Manager,USD,CA,0,CA,M,11.992260421644849
2024,SE,FT,Manager,USD,CA,0,CA,M,11.372513311253483
2024,SE,FT,Product Manager,USD,US,0,US,M,12.2783933071098
2024,SE,FT,Product Manager,USD,US,0,US,M,11.809319478024031
2024,SE,FT,Software Engineer,USD,US,100,US,M,12.043553716032399
2024,SE,FT,Software Engineer,USD,US,100,US,M,11.695247021764184
2024,SE,FT,Engineer,USD,IE,0,IE,M,11.835008964139341
2024,SE,FT,Engineer,USD,IE,0,IE,M,11.617285480294472
2024,SE,FT,Software Engineer,USD,US,0,US,M,11.856515169360305
2024,SE,FT,Software Engineer,USD,US,0,US,M,11.589886506106357
2024,MI,FT,Engineer,USD,US,0,US,M,12.073968804896836
2024,MI,FT,Engineer,USD,US,0,US,M,11.756655649892826
2024,MI,FT,Backend Software Engineer,ILS,IL,50,IL,L,11.667841566073582
2024,SE,FT,Research Engineer,USD,US,0,US,M,12.779873068457553
2024,SE,FT,Research Engineer,USD,US,0,US,M,12.175613438045465
2024,SE,FT,Research Engineer,USD,US,0,US,M,12.92391243868049
2024,SE,FT,Research Engineer,USD,US,0,US,M,12.319401330837177
2024,MI,FT,Research Engineer,USD,US,0,US,M,11.884489021402711
2024,SE,FT,Product Manager,USD,US,0,US,M,12.647548191161372
2024,SE,FT,Product Manager,USD,US,0,US,M,11.911701584927597
2024,EN,FT,Machine Learning Engineer,USD,US,0,US,M,11.574960855889682
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,12.365210866868471
2024,SE,FT,Machine Learning Engineer,USD,US,0,US,M,11.894780707439258
2024,SE,FT,Data Quality Engineer,USD,US,0,US,M,11.885867381372833
2024,SE,FT,Data Quality Engineer,USD,US,0,US,M,11.685196685910682
2024,SE,FT,AI Lead,USD,US,0,US,M,12.377922902456833
2024,SE,FT,AI Lead,USD,US,0,US,M,11.77528972943772
2024,EX,FT,Head of Data,USD,US,0,US,M,12.388394202324129
2024,EX,FT,Head of Data,USD,US,0,US,M,11.894780707439258
2024,SE,FT,Data Engineer,USD,US,0,US,M,12.196022309676673
2024,MI,FT,Data Engineer,USD,US,0,US,M,12.119969946476761
2024,MI,FT,Data Engineer,USD,US,0,US,M,11.657025808943985
2024,MI,FT,Data Engineer,USD,US,0,US,M,12.365210866868471
2024,MI,FT,Data Engineer,USD,US,0,US,M,12.166754727652666
2024,SE,FT,BI Engineer,USD,US,0,US,M,12.2783933071098
2024,SE,FT,BI Engineer,USD,US,0,US,M,11.809319478024031
